"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"Deny-MySql-http";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-mysql-http";"1.1.0";"Mg";"alz";"Deny-MySql-http";"1.1.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MySql-http.html"
"Policy";"Deny-PostgreSql-http";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-postgresql-http";"1.0.1";"Mg";"alz";"Deny-PostgreSql-http";"1.0.1";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PostgreSql-http.html"
"Policy";"Deny-Private-DNS-Zones";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-private-dns-zones";"1.0.0";"Mg";"alz";"Deny-Private-DNS-Zones";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Private-DNS-Zones.html"
"Policy";"Deny-PublicEndpoint-MariaDB";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-publicendpoint-mariadb";"1.0.0-deprecated";"Mg";"alz";"Deny-PublicEndpoint-MariaDB";"1.0.0-deprecated";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PublicEndpoint-MariaDB.html"
"Policy";"Deny-PublicIP";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-publicip";"1.0.0-deprecated";"Mg";"alz";"Deny-PublicIP";"1.0.0-deprecated";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PublicIP.html"
"PolicySet";"Deny-PublicPaaSEndpoints";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/deny-publicpaasendpoints";"5.2.0";"Mg";"alz";"Deny-PublicPaaSEndpoints";"5.2.0";"upToDate";"True";"PolicySet Name, MetaData Tag";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deny-PublicPaaSEndpoints.html"
"Policy";"Deny-RDP-From-Internet";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-rdp-from-internet";"1.0.1-deprecated";"Mg";"alz";"Deny-RDP-From-Internet";"1.0.1-deprecated";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-RDP-From-Internet.html"
"Policy";"Deny-Redis-http";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-redis-http";"1.1.0";"Mg";"alz";"Deny-Redis-http";"1.1.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Redis-http.html"
"Policy";"Deny-Service-Endpoints";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-service-endpoints";"1.0.0";"Mg";"alz";"Deny-Service-Endpoints";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Service-Endpoints.html"
"Policy";"Deny-Sql-minTLS";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-sql-mintls";"1.1.1";"Mg";"alz";"Deny-Sql-minTLS";"1.1.1";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Sql-minTLS.html"
